4a00000Y0900,Y09,250929,0
HHQ,221,8
LDQ,251,6
XTQ,77,6
ZZQ,48,32
HYQ,91,8
CZQ,116,6
SGQ,102,6
YDQ,54,3
YTQ,42,3
GBA,49

4100000Y5730,Y57,250726-28,0
XAY,,16:57
XYY,25,3
BJY,140,12
TSJ,166,10
LZJ,379,22
JCJ,283,6
ZYJ,112,8
JQJ,164,3
JGJ,20,15
SHJ,110,13
DHR,100,8
HMR,257,20
TFR,255,6
WAR,115

8500000Y58B0,Y55,250709-11,0
LZJ,,23:28
TSJ,337,6
BJY,156,6
XAY,157,23
新丰镇,31,31
南阳西,302,31
XUN,217,25
WCN,197,33
YYQ,176,5
CSQ,89,8
ZZQ,38,25
HYQ,91,6
CZQ,134,6
SGQ,103,6
YTQ,100,4
GBA,66

8500000Y58C0,Y55,250806-08,0
LZJ,,23:28
TSJ,337,6
BJY,156,6
XAY,157,23
新丰镇,31,31
南阳西,302,31
XUN,217,25
WCN,197,33
YYQ,176,5
CSQ,89,8
ZZQ,38,25
HYQ,91,6
CZQ,134,6
SGQ,103,6
YDQ,54,4
YTQ,42,4
GBA,66

8500000Y58D0,Y55,250809-11,0
LZJ,,23:28
TSJ,337,6
BJY,156,6
XAY,157,23
新丰镇,31,31
南阳西,302,31
XUN,217,25
WCN,197,33
YYQ,176,5
CSQ,89,8
ZZQ,38,25
HYQ,91,6
CZQ,134,6
SGQ,103,6
YTQ,100,4
GBA,66

8500000Y58E0,Y55,250911-13,0
8500000Y58F0,Y55,251002-04,0
8500000Y58G0,Y55,251014,0
LZJ,,23:28
TSJ,337,6
BJY,156,6
XAY,157,23
新丰镇,31,31
南阳西,302,31
XUN,217,25
WCN,197,33
YYQ,176,5
CSQ,89,8
ZZQ,38,25
HYQ,91,6
CZQ,134,6
SGQ,103,6
YDQ,54,4
YTQ,42,4
GBA,66

8500000Y58H0,Y55,251025,0
LZJ,,23:28
TSJ,337,6
BJY,156,6
XAY,157,23
新丰镇,31,31
南阳西,302,31
XUN,217,25
WCN,197,33
YYQ,176,5
CSQ,89,8
ZZQ,38,25
HYQ,91,6
CZQ,134,6
SGQ,103,6
GBA,170

9300000Y5810,Y55,250701-02

2500000Y6300,Y63,250915-16,0
TJP,,23:29
SHD,298

1200000Y6480,Y61,250702-04,0
SBT,,22:12
SPF,1296,5
WCN,441,25
YYQ,139

1200000Y6490,Y64,250704-05,0
SBT,,22:12
SHD,416

1200000Y64A0,Y64,250705-07,0
SBT,,22:12
JZD,254,8
SHD,154,30
TJP,245,37
RMP,83,2
HSP,119,8
UCK,107,26
HIK,110,27
梁堤头,50,15
SPF,21,5
FYH,109,25
KCN,97,5
MCN,78,9
WCN,118,25
CBN,77

1200000Y64B0,Y64,250711-12,0
SBT,,22:12
JZD,254,8
SHD,154

1200000Y64C0,Y64,250719,0
1200000Y64D0,Y64,250801-02,0
1200000Y64E0,Y64,250818-19,0
1200000Y64F0,Y64,250819-20,0
SBT,,22:12
SHD,416

1200000Y64G0,Y61,250901-03,0
SBT,,22:12
JZD,254,8
SHD,154,30
TSP,149,6
TJP,90,37
RMP,83,2
HSP,119,8
UCK,107,26
梁堤头,187,15
FYH,135,25
MCN,180,33
JJG,154,4
XTG,119,22
VAG,132,6
EUG,69,5
赣州东,42,6
GZG,8,10
DNG,112,25
LUQ,76,25
DMQ,169,6
BJQ,129

1200000Y64K0,Y64,250907-09,0
SBT,,22:12
JZD,254,8
SHD,154,30
TSP,149,6
TJP,90,37
RMP,83,2
HSP,119,8
UQK,78,15:10
HIK,165,27
SPF,86,5
KCN,231,5
WCN,205,15
CBN,87

0100000Y64L0,Y61,250919-21,0
VBB,,13:51
LLB,78,2
CCT,188,8
SBT,210,15
JZD,254,8
TJP,429,37
JJG,1074

1200000Y64J0,Y64,250924-25,0
1200000Y64M0,Y64,250930-1001,0
SBT,,22:12
SHD,416

8600000Y6570,Y65,250812-13,0
WUJ,,17:04
ZYJ,168,6
JGJ,153,8
DHR,224,6
TFR,486,6
WAR,115

3800000Y6560,Y65,双&250905-07,0
ZZF,,19:00
LYF,100,20
SMF,101,10
XAY,281,6
BJY,128,16
TSJ,111,6
LZJ,283,24
TFR,1289,6
WAR,115

4100000Y6500,Y65,250913,0
XAY,,03:32
BJY,134,16
TSJ,111

9300000Y6630,Y66,250703-04,0
WAR,,10:50
TFR,113,6
哈密东,270,30
DHR,187,6
SHJ,126,5
JGJ,117,8
JQJ,20,3
ZYJ,125,6
SDJ,34,5
JCJ,80,6
WWJ,66,15
LAJ,237,25
LZJ,12

9200000Y6660,Y66,250708-10,0
HMR,,17:10
LZJ,1086,26
TSJ,410,6
BJY,199,6
XAY,118,41
SXF,248,21
LYF,121,16
ZZF,92

9200000Y6670,Y66,250714-15,0
HMR,,17:10
LZJ,1086,26
TSJ,410,6
BJY,199,6
XAY,118,41
SXF,248,21
LYF,121,16
ZZF,109

9200000Y6680,Y66,250720,0
HMR,,17:10
DHR,226,6
JGJ,248,8
ZYJ,148,6
WWJ,191,15
LZJ,274

9200000Y6690,Y66,250726-28,0
9200000Y66A0,Y66,250801-03,0
HMR,,17:10
LZJ,1122,47
TSJ,353,6
BJY,159,8
XAY,156,41
SXF,248,21
LYF,121,16
ZZF,104

9200000Y66B0,Y66,250809-11,0
HMR,,17:10
DHR,226,6
JGJ,248,8
ZYJ,148,6
WWJ,191,15
LZJ,274,47
TSJ,353,6
BJY,159,8
XYY,117,9
XAY,30

9200000Y66C0,Y66,250813-15,0
9200000Y66D0,Y66,250821-23,0
HMR,,17:10
LZJ,1122,47
TSJ,353,6
BJY,159,8
XAY,156,41
SXF,248,21
LYF,121,16
ZZF,104

9200000Y66E0,Y66,250909-11,0
HMR,,17:10
ZYJ,636,6
LZJ,480,47
TSJ,353,6
BJY,159,8
XAY,156,41
SXF,248,21
LYF,121,16
ZZF,104

9300000Y6640,Y66,250911-12,0
WAR,,10:50
TFR,113,6
DHR,487,6
JGJ,248,8
ZYJ,148,6
WWJ,191,15
LZJ,274

9200000Y66F0,Y66,250920-22,0
HMR,,17:10
LZJ,1122,47
TSJ,353,6
BJY,159,8
XAY,156,41
SXF,248,21
LYF,121,16
ZZF,104

6500000Y88F0,Y88,250923-24,0
SZQ,,23:10
SGQ,416,6
CZQ,105

6400000Y9210,Y92,250927-28,0
HHQ,,14:15
JJG,885

570000Y101P0,Y101,250921-22,0
JJG,,16:44
BJQ,913

570000Y101Q0,Y101,251014,0
JJG,,16:44
XTG,109,28
VAG,130,6
赣州东,133,16
GZG,8,16
LUQ,219,18
DMQ,168

150000Y103J0,Y103,250701-02,0
PVD,,18:15
SBT,212,25
CCT,205,8
VBB,182

150000Y103K0,Y103,250711,0
150000Y103M0,Y103,250718,0
SHD,,16:02
VBB,765

150000Y103N0,Y103,250719,0
SHD,,16:02
JZD,132,9
SBT,204,25
CCT,205,8
VBB,182

150000Y103O0,Y103,250722,0
150000Y103P0,Y103,250728-29,0
150000Y103Q0,Y103,250729-30,0
150000Y103T0,Y103,250802-03,0
SHD,,16:02
VBB,765

150000Y103S0,Y103,250803-04,0
SHD,,16:02
JZD,132,9
SBT,204,25
CCT,205,8
VBB,182

110000Y10310,Y103,250812-13,0
CCT,,01:45
VBB,182

150000Y103V0,Y103,250820-21,0
SHD,,16:02
JZD,132,9
SBT,204,25
CCT,205,8
VBB,182

120000Y103L0,Y103,250824-25,0
SBT,,22:12
CCT,205,8
VBB,182

150000Y103X0,Y103,250906-07,0
SHD,,16:02
JZD,132,9
SBT,204,25
CCT,205,8
VBB,182

150000Y103F0,Y103,250910-11,0
150000Y103Z0,Y103,250915-16,0
SHD,,16:02
VBB,765

150000Y103W0,Y103,250919-20,0
PVD,,17:10
SBT,277,25
CCT,205,8
VBB,182

180000Y104E0,Y104,250704-05,0
180000Y104A0,Y104,250705-06,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,222

180000Y104G0,Y104,250707-08,0
DHL,,18:25
SBT,641

180000Y104I0,Y104,250708-09,0
180000Y104J0,Y104,250720,0
180000Y104H0,Y104,250721,0
180000Y104K0,Y104,250724,0
180000Y104B0,Y104,250726-27,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,222

180000Y104S0,Y104,250727-28,0
180000Y104M0,Y104,250803-04,0
DHL,,18:25
SBT,641

180000Y104O0,Y104,250804-05,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,222

180000Y104Q0,Y104,250805-06,0
DHL,,18:25
SBT,641

180000Y104L0,Y104,250806-07,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,222

180000Y104R0,Y104,250809-10,0
DHL,,18:25
SBT,641

180000Y104N0,Y104,250810-11,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,222

180000Y104T0,Y104,250811-12,0
DHL,,18:25
CCT,397

180000Y104P0,Y104,250813-14,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,222

180000Y104U0,Y104,250817-18,0
180000Y10400,Y104,250824-25,0
DHL,,18:25
SBT,641

180000Y104W0,Y104,250827,0
180000Y10440,Y104,250913-14,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,222

180000Y104V0,Y104,250915-16,0
180000Y104Z0,Y104,250920-21,0
180000Y10410,Y104,250922-23,0
DHL,,18:25
SBT,641

180000Y10470,Y104,250923-24,0
DHL,,18:25
JLL,217,8
CCT,172,22
SBT,222

570000Y111B0,Y111,250915-16,0
YTG,,11:51
XTG,84,22
VAG,134,18
赣州东,135,15
GZG,8,15
DNG,189,3
LUQ,76,20
DMQ,320

570000Y111C0,Y111,250921-22,0
YTG,,11:51
XTG,84,22
VAG,134,18
赣州东,135,15
GZG,8,15
DNG,189,3
LUQ,76,20
DMQ,297,6
BJQ,43

260000Y12230,Y122,250705-06,0
BDP,,21:39
BJP,159,47
FUP,178,25
SHD,125,27
JZD,135,8
SBT,252,34
CCT,257,11
VBB,233

580000Y12210,Y122,双&250709-11,0
FZS,,23:55
ADS,359,33
JYS,281,5
WAS,46,6
HFG,213,5
YTG,51,25
JUG,58,5
FCG,38,4
XUG,83,7
YEG,86,4
PXG,43,6
ZZQ,79,20
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
孟庙,135,38
ZZF,113,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

650000Y12210,Y122,250713,0
GBA,,15:52
YTQ,45,10
YDQ,42,9
SGQ,61,6
CZQ,105,6
HYQ,104,6
ZZQ,84,22
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
孟庙,135,38
ZZF,113,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

650000Y12220,Y122,250715,0
GBA,,15:52
YTQ,45,10
YDQ,42,9
SGQ,61,6
CZQ,105,6
HYQ,104,6
ZZQ,86,20
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
ZDN,60,11
孟庙,64,38
ZZF,113,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

650000Y12230,Y122,250801-03,0
GBA,,15:52
YTQ,45,10
YDQ,42,9
SGQ,61,6
CZQ,105,6
HYQ,104,6
ZZQ,86,20
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
孟庙,135,38
ZZF,113,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

260000Y12240,Y122,250803-04,0
BDP,,21:39
BJP,159,47
FUP,178,25
SHD,125,27
JZD,135,8
SBT,252,34
CCT,257,11
VBB,233

710000Y122K0,Y122,250809-11,0
MMZ,,09:20
MDQ,13,6
ZVQ,203,6
GBA,134,30
YTQ,45,10
YDQ,42,9
SGQ,61,6
CZQ,105,6
HYQ,104,6
ZZQ,84,22
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
ZZF,286,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

780000Y12290,Y122,250818-20,0
GIW,,09:21
KLW,163,10
YZW,152,6
HHQ,106,20
LDQ,282,6
XTQ,75,6
ZZQ,43,22
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
孟庙,135,38
ZZF,113,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

650000Y12240,Y122,250825-27,0
GBA,,15:52
YDQ,97,9
SGQ,61,6
CZQ,105,6
HYQ,104,6
ZZQ,86,20
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
ZDN,60,11
LON,43,9
孟庙,12,38
ZZF,113,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

390000Y122C0,Y122,250827,0
CBN,,02:46
XNN,29,27
WCN,85,23
XUN,187,7
ZDN,60,11
LON,43,9
孟庙,12,38
ZZF,113,38
XXF,73,8
AYF,97,11
HDP,37,8
SJP,106,11
BDP,80,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

650000Y12250,Y122,250910-12,0
GBA,,15:52
YTQ,45,10
YDQ,42,9
SGQ,61,6
CZQ,105,6
HYQ,104,6
ZZQ,86,20
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
孟庙,135,38
ZZF,113,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

260000Y12250,Y122,250915-16,0
BDP,,21:39
BJP,159,47
FUP,178,25
SHD,125,27
JZD,135,8
SBT,252,34
CCT,257,11
VBB,233

260000Y12260,Y122,250920-21,0
BDP,,21:39
BJP,159,47
FUP,178,25
SHD,125,27
JZD,135,8
SBT,252,34
CCT,257,11
LLB,119,2
VBB,112

650000Y12270,Y122,251010,0
GBA,,15:52
YTQ,45,10
YDQ,42,9
SGQ,61,6
CZQ,105,6
HYQ,104,6
ZZQ,86,20
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
ZDN,60,11
LON,43,9
孟庙,12,38
ZZF,113,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

650000Y12260,Y122,251012,0
GBA,,15:52
YTQ,45,10
YDQ,42,9
SGQ,61,6
CZQ,105,6
HYQ,104,6
XTQ,35,6
ZZQ,43,22
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
孟庙,135,38
ZZF,113,38
AYF,178,11
HDP,37,8
SJP,106,10
BDP,81,140
FTP,1437,22
BJP,20,47
FUP,178,25
SHD,125

780000Y12280,Y123,250701-02

150000Y123E0,Y123,250823,0
SHD,,07:00
JZD,135,8
SBT,252

710000Y12300,Y122,250911-13,0
YLZ,,06:15
HCZ,94,4
HZZ,38,4
MMZ,23,22
MDQ,13,6
肇  庆,203,6
GBA,134,30
YTQ,45,10
YDQ,42,9
SGQ,61,6
CZQ,105,6
HYQ,104,6
ZZQ,86,20
CSQ,39,8
YYQ,83,3
WCN,162,23
XUN,187,7
ZZF,286,38
AYF,178,11
HDP,37,10
SJP,104,10
BDP,81,20
FTP,117,22
BJP,20,47
FUP,178,25
SHD,125

120000Y124L0,Y121,250829-31,0
SYT,,08:06
JZD,219,8
SHD,137,20
FUP,331,38
BJP,215,29
FTP,18,71
BDP,86,10
SJP,86,10
HDP,105,8
AYF,67,12
ZZF,162,43
XUN,228,60
WCN,175,26
CBN,81,4
YYQ,64,17
CSQ,116,10
ZZQ,38,24
XTQ,25,5
LDQ,74,6
HHQ,298,20
YZW,125,9
KLW,149,5
GIW,171

760000Y152W0,Y152,250701-03,0
CMW,,09:47
IAW,266,21
TVW,47,2
WKW,33,4
CXW,48,82
VJW,144,20
QRW,30,16
RXW,235,9
AKY,168,26
XFN,330,25
SHD,1375

410000Y15260,Y152,250703-04,0
XAY,,09:25
WNY,54,8
SXF,147,11
LYF,197,41
XXF,267,32
AYF,66,4
HDP,37,6
SJP,99,8
BDP,80,6
BJP,121,30
FUP,95,30
SHD,124,20
JZD,144,8
SYT,200,18
CCT,203,10
VBB,219

760000Y152X0,Y152,250709

770000Y152N0,Y152,250711,0
RXW,,02:10
AKY,196,9
XBY,41,3
ZEY,44,3
XAY,101,38
WNY,54,8
SXF,147,11
LYF,197,41
XXF,267,32
AYF,66,4
HDP,37,6
SJP,99,8
BDP,80,6
BJP,121,30
FUP,95,30
SHD,124,20
JZD,144,8
SYT,200,18
CCT,203,10
VBB,219

410000Y15280,Y152,250717-18,0
XAY,,09:25
WNY,54,8
SXF,147,11
LYF,197,41
XXF,267,32
HDP,107,6
SJP,99,8
BDP,80,6
BJP,121,30
FUP,95,30
SHD,124

760000Y152Y0,Y152,250726-28,0
CMW,,09:47
IAW,266,21
TVW,47,2
WKW,33,4
CXW,48,82
VJW,144,20
QRW,30,16
RXW,235,9
AKY,168,26
XFN,330,25
XXF,637,32
SJP,212,8
BDP,80,6
BJP,121,30
SHD,249

770000Y152O0,Y152,250731-0801,0
RXW,,02:10
AKY,196,9
XBY,41,3
ZEY,44,3
XAY,101,38
WNY,54,8
SXF,147,11
LYF,197,41
XXF,267,32
AYF,66,4
HDP,37,6
SJP,99,8
BJP,207,30
VBB,1071

410000Y15290,Y152,250801-02,0
XAY,,09:25
WNY,54,8
SXF,147,11
LYF,197,41
XXF,267,32
HDP,107,6
SJP,99,8
BDP,80,6
BJP,121,30
FUP,95,30
SHD,124

420000Y15260,Y152,250803-04,0
SNN,,08:25
XFN,123,25
NFF,113,7
XXF,517,32
SHD,706

770000Y152P0,Y152,250805-06,0
RXW,,01:44
AKY,222,9
ZEY,88,3
XAY,101,38
WNY,54,8
SXF,147,11
LYF,197,41
XXF,267,32
AYF,66,4
HDP,37,6
SJP,99,8
BJP,207,30
FUP,95,30
SYT,496

420000Y15270,Y152,250810-11,0
XFN,,10:53
NFF,113,7
BFF,92,7
GLF,172,25
XXF,221,32
AYF,66,4
BJP,357,30
FUP,95,30
SHD,124

760000Y152Z0,Y152,250812-14,0
CMW,,17:01
DYW,69,13
MYW,43,16
JFW,38,6
GYW,181,23
HOY,184,6
AKY,165,16
ZEY,83,3
CAY,65,3
XAY,40,30
WNY,54,8
LYF,355,41
XXF,267,32
BJP,427,30
SHD,249

7m0000Y15220,Y152,250820-22,0
NCW,,23:30
RXW,125,9
AKY,168,26
XFN,330,25
GLF,391,25
XXF,221,32
AYF,66,4
HDP,37,6
SJP,99,8
BDP,80,6
BJP,121,30
FUP,95,30
SHD,124

760000Y15210,Y152,250830-0901,0
CMW,,09:47
IAW,267,19
TVW,47,3
WKW,33,4
CXW,48,82
VJW,144,20
QRW,30,16
RXW,235,9
AKY,222,9
XBY,41,3
ZEY,44,3
XAY,101,38
WNY,54,8
LYF,355,41
XXF,267,32
BJP,427,30
SHD,249

410000Y152B0,Y152,250904-05,0
XAY,,09:25
WNY,54,8
SXF,147,11
LYF,197,41
XXF,267,32
HDP,107,6
SJP,99,8
BDP,80,6
FTP,96,28
FUP,115,37
SHD,124

410000Y152A0,Y153,250818-19,0
XAY,,09:25
WNY,54,8
SXF,147,11
LYF,197,41
XXF,267,32
AYF,66,4
HDP,37,6
SJP,99,8
BDP,80,6
BJP,121,30
FUP,95,30
SHD,124

120000Y154O0,Y151,250712,0
SBT,,08:00
WNY,878,5
CAY,55,8
AKY,160,8
RXW,209,8
QRW,47,5
VJW,43,4
CXW,141,53
WKW,47,4
NIW,75,6
CMW,152

120000Y154P0,Y151,250721,0
SBT,,08:00
BDP,1257,6
SJP,87,15
HDP,177,6
AYF,112,11
XXF,99,30
LYF,196,25
SXF,159,8
WNY,130,5
XAY,47,48
XBY,156,2
AKY,41,9
HOY,175,6
GYW,187

120000Y154Q0,Y151,250807-09,0
120000Y154R0,Y151,250808-10,0
SBT,,08:00
FUP,878,28
BJP,118,76
BDP,157,6
HDP,279,6
AYF,112,11
XXF,99,30
LYF,196,25
SXF,159,8
WNY,130,5
XAY,47,48
XBY,156,2
AKY,41,9
HOY,175,6
GYW,187

150000Y154K0,Y151,250815-16,0
SHD,,18:40
FUP,238,28
BJP,118,76
AYF,560,11
XXF,99,30
YBF,76,6
BFF,243,7
NFF,90,8
DOF,47,3
XFN,60

150000Y154J0,Y151,250817-19,0
SHD,,18:40
FUP,238,28
BJP,118,76
SJP,250,15
HDP,177,6
AYF,112,11
XXF,99,30
LYF,196,25
SXF,159,8
WNY,130,5
XAY,47,48
XBY,156,2
AKY,41,9
RXW,208

120000Y154S0,Y151,双&250911-13,0
SBT,,08:00
BJP,1024,76
XXF,670,30
WNY,518,5
XAY,47,48
XBY,156,2
AKY,41,9
RXW,208,8
QRW,46,4
VJW,29,4
CUW,100,42
WKW,39,4
TVW,33,7
NIW,41,4
CMW,153

120000Y154T0,Y151,250925,0
SBT,,08:00
SJP,1350

150000Y154I0,Y154,250808-10,0
SHD,,18:40
XXF,1130,30
NFF,422,8
XFN,110,25
SNN,148

380000Y17110,Y171,250719,0
ZZF,,05:33
LYF,112,28
SXF,144,10
XAY,349,47
BJY,194,8
TSJ,131,8
LZJ,344,27
WAR,58

410000Y17170,Y171,250902-03,0
XAY,,17:03
XNO,967

870000Y17110,Y171,250917-18,0
PIJ,,23:42
ZWJ,313

870000Y17120,Y171,250920-21,0
PIJ,,23:42
ZWJ,313,15
YIJ,235

850000Y17240,Y172,250724,0
TSJ,,00:38
SXF,639,11
LYF,172,40
BFF,156,12
NFF,90,30
DOF,50,34
XFN,75

880000Y17210,Y172,250802-03,0
880000Y17200,Y172,250803-04,0
XNO,,15:00
LZJ,259,15
TSJ,285,19
BJY,153,37
XAY,132,28
LYF,472,35
ZZF,111

850000Y17250,Y172,250917-18,0
LZJ,,19:34
TSJ,285,19
BJY,153,37
XAY,132,28
SXF,289,11
LYF,172,35
ZZF,111

870000Y173C0,Y173,250914,0
870000Y173D0,Y173,251009,0
870000Y173E0,Y173,251013,0
870000Y173F0,Y173,251016,0
YIJ,,12:27
ZWJ,126

410000Y17400,Y174,250912-13,0
XAY,,17:04
YIJ,961

870000Y17430,Y174,251010,0
870000Y17440,Y174,251015,0
870000Y17450,Y174,251016,0
ZWJ,,05:10
YIJ,235

670000Y18550,Y185,251016,0
DMQ,,03:10
GBA,122

870000Y20150,Y201,250702-03,0
ZWJ,,14:01
JCJ,282,7
ZYJ,120,6
JGJ,153,8
SHJ,97,6
DHR,100,6
HMR,219,20
TFR,238,6
WAR,105

870000Y20140,Y201,250704-05,0
ZWJ,,14:01
TFR,1262,6
WAR,105

270000Y20160,Y201,250706,0
TYV,,00:41
LZJ,1402

260000Y201N0,Y201,250708-09,0
SJP,,21:13
TYV,176,32
WUY,154,2
ODY,28,30
YWY,121,8
PEY,194,6
XAY,96

870000Y20160,Y201,250716,0
870000Y20180,Y201,250725-26,0
ZWJ,,14:01
JCJ,282,7
ZYJ,120,6
JGJ,153,8
SHJ,97,6
DHR,100,6
HMR,219,20
TFR,238,6
WAR,105

870000Y20170,Y201,250731-0801,0
ZWJ,,14:01
TFR,1262,6
